"","package","version","pkg_ref","pkg_score","news_current","has_vignettes","has_bug_reports_url","bugs_status","license","export_help","downloads_1yr","has_website","has_maintainer","has_news","has_source_control","covr_coverage","risk"
"127","tibble","3.0.1",<pkg_ref>,0.337209302325581,1,1,1,0,NA,0.976744186046512,0.986805652986035,1,1,1,1,0,0.337209302325581
"128","tidyr","1.1.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.984754568369815,1,1,1,1,0,0.333333333333333
"129","tidyselect","1.1.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.980485751281013,1,1,1,1,0,0.333333333333333
"130","tidyverse","1.3.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.976676352200143,1,1,1,1,0,0.333333333333333
"131","tinytex","0.24",<pkg_ref>,0.583333333333333,0,0,1,0,NA,1,0.979002236681749,1,1,1,1,0,0.583333333333333
"132","triebeard","0.3.0",<pkg_ref>,0.5,0,1,1,0,NA,1,0.658450503785507,1,1,0,1,0,0.5
"133","urltools","1.7.3",<pkg_ref>,0.547008547008547,0,1,1,0,NA,0.717948717948718,0.669508890210853,1,1,0,1,0,0.547008547008547
"134","usethis","1.6.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.979809783936422,1,1,1,1,0,0.5
"135","utf8","1.1.4",<pkg_ref>,0.5,0,1,1,0,NA,1,0.98033715229531,1,1,0,1,0,0.5
"136","vctrs","0.3.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.988230440443596,1,1,1,0,0,0.333333333333333
"137","viridisLite","0.3.0",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.972236510136728,1,1,0,1,0,0.666666666666667
"138","whisker","0.4",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.958019259084702,1,1,0,1,0,0.833333333333333
"139","withr","2.2.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.976116532216012,1,1,1,1,0,0.333333333333333
"140","xfun","0.15",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.981292211785632,1,1,1,1,0,0.333333333333333
"141","xml2","1.3.2",<pkg_ref>,0.342857142857143,1,1,1,0,NA,0.942857142857143,0.977951231357582,1,1,1,1,0,0.342857142857143
"142","xopen","1.0.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.93040673551451,1,1,1,1,0,0.5
"143","xtable","1.8.4",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.962801899781374,1,1,0,0,0,0.666666666666667
"144","yaml","2.2.1",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.979533170726649,1,1,0,1,0,0.666666666666667
"145","base","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0,0.833333333333333
"146","boot","1.3.24",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.863186246386977,0,1,0,0,0,0.833333333333333
"147","class","7.3.15",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.810329217898852,1,1,0,0,0,0.833333333333333
"148","cluster","2.1.0",<pkg_ref>,0.666666666666667,1,0,0,0,NA,1,0.821067724673329,1,1,1,0,0,0.666666666666667
"149","codetools","0.2.16",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.668272229077929,0,1,0,0,0,0.833333333333333
"150","compiler","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0,0.833333333333333
"151","datasets","3.6.3",<pkg_ref>,1,0,0,0,0,NA,NaN,0,0,1,0,0,0,1
"152","foreign","0.8.75",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.902026100246894,0,1,0,0,0,0.666666666666667
"153","graphics","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0,0.833333333333333
"154","grDevices","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0,0.833333333333333
"155","grid","3.6.3",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.00945638966664908,0,1,0,0,0,0.666666666666667
"156","KernSmooth","2.23.16",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.813021669541978,0,1,0,0,0,0.833333333333333
"157","lattice","0.20.38",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.879027477698715,1,1,0,0,0,0.666666666666667
"158","MASS","7.3.51.5",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.915421769083386,1,1,0,0,0,0.833333333333333
"159","Matrix","1.2.18",<pkg_ref>,0.459981167608286,1,1,1,0,NA,0.240112994350282,0.869208326721088,1,1,1,0,0,0.459981167608286
"160","methods","3.6.3",<pkg_ref>,0.901986183074266,0,0,0,0,NA,0.588082901554404,0,0,1,0,0,0,0.901986183074266
"161","mgcv","1.8.31",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.870213472879807,0,1,0,0,0,0.833333333333333
"162","nlme","3.1.144",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.905630226512622,1,1,0,0,0,0.666666666666667
"163","nnet","7.3.12",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.802595214908009,1,1,0,0,0,0.833333333333333
"164","parallel","3.6.3",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0,0,1,0,0,0,0.666666666666667
"165","rpart","4.1.15",<pkg_ref>,0.416666666666667,0,1,1,0,NA,1,0.837877097870354,1,1,1,1,0,0.416666666666667
"166","spatial","7.3.11",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.618549675004323,1,1,0,0,0,0.833333333333333
"167","splines","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.00253356474554634,0,1,0,0,0,0.833333333333333
"168","stats","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0,0.833333333333333
"169","stats4","3.6.3",<pkg_ref>,0.994047619047619,0,0,0,0,NA,0.0357142857142857,0,0,1,0,0,0,0.994047619047619
"170","survival","3.1.8",<pkg_ref>,0.5,1,1,0,0,NA,1,0.904596114008916,1,1,1,1,0,0.5
"171","tcltk","3.6.3",<pkg_ref>,0.833952912019827,0,0,0,0,NA,0.996282527881041,0.00129166278280091,0,1,0,0,0,0.833952912019827
"172","tools","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0,0.833333333333333
"173","utils","3.6.3",<pkg_ref>,0.667427701674277,0,1,0,0,NA,0.995433789954338,0,0,1,0,0,0,0.667427701674277
