"","package","version","pkg_ref","pkg_score","news_current","has_vignettes","has_bug_reports_url","bugs_status","license","export_help","downloads_1yr","has_website","has_maintainer","has_news","has_source_control","covr_coverage"
"1107","influenceR","0.1.0",<pkg_ref>,1,0,0,0,0,0,0,0.629922036909109,1,1,0,1,0
"1108","infotheo","1.2.0",<pkg_ref>,1,0,0,0,0,0,0,0.239416480323704,1,1,0,0,0
"1109","ini","0.3.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.940339041296122,1,1,1,1,0
"1110","interpretR","0.2.4",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.0419559427472871,0,1,1,0,0
"1111","inum","1.0-1",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.658893222208325,0,1,1,0,0
"1112","ipred","0.9-9",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.909194812239086,0,1,1,0,0
"1113","irace","3.4.1",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.167328178169565,1,1,1,1,0
"1114","irlba","2.3.3",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.647874925173422,0,1,0,0,0
"1115","Iso","0.0-18.1",<pkg_ref>,1,0,0,0,0,0,0,0.122442651627284,1,1,0,0,0
"1116","iterators","1.0.12",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.925600220223348,0,1,0,0,0
"1117","itertools","0.1-3",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.569292261043346,0,1,1,0,0
"1118","JBTools","0.7.2.9",<pkg_ref>,1,0,0,0,0,0,0,0.0698712701837935,0,1,0,0,0
"1119","jomo","2.7-1",<pkg_ref>,1,0,0,0,0,0,0,0.722819699758299,0,1,0,0,0
"1120","jpeg","0.1-8.1",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.932842967606582,1,1,1,0,0
"1121","jsonlite","1.6.1",<pkg_ref>,0.537878787878788,0,1,1,0,NA,0.772727272727273,0.986020882378679,1,1,0,0,0
"1122","kernlab","0.9-29",<pkg_ref>,1,0,0,0,0,0,0,0.925161688172703,0,1,0,0,0
